"id","SP_NAME","date_time","outletid","total_bet","total_win","pj_contribution","pj_payout","seed_money","seed_money_overk","seed_contri","ChannelType","platformcode","gamebrand","gamename","playerid","txn_count","bet_0_2","bet_3_10","bet_11_50","bet_51_100","bet_101_250","bet_251_1000","bet_1k_5k","bet_above_5k"
1,SP1,2024-11-01 00:00:00.000,"1",1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1004",1,1,0,0,0,0,0,0,0
2,SP1,2024-11-01 00:00:00.000,"1",1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1010",1,1,0,0,0,0,0,0,0
3,SP1,2024-11-01 00:00:00.000,"1",1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1015",1,1,0,0,0,0,0,0,0
4,SP1,2024-11-01 00:00:00.000,"1",2.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1020",2,2,0,0,0,0,0,0,0
5,SP1,2024-11-01 00:00:00.000,"1",3.000000,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1024",1,0,1,0,0,0,0,0,0
6,SP1,2024-11-01 00:00:00.000,"1",3.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1026",2,2,0,0,0,0,0,0,0
7,SP1,2024-11-01 00:00:00.000,"1",2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1027",1,1,0,0,0,0,0,0,0
8,SP1,2024-11-01 00:00:00.000,"1",5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1032",1,0,1,0,0,0,0,0,0
9,SP1,2024-11-01 00:00:00.000,"1",5.000000,37.500000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1034",1,0,1,0,0,0,0,0,0
10,SP1,2024-11-01 00:00:00.000,"1",3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1037",1,0,1,0,0,0,0,0,0
11,SP1,2024-11-01 00:00:00.000,"1",3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"104",1,0,1,0,0,0,0,0,0
12,SP1,2024-11-01 00:00:00.000,"1",1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"105",1,1,0,0,0,0,0,0,0
13,SP1,2024-11-01 00:00:00.000,"1",3.000000,76.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1054",2,2,0,0,0,0,0,0,0
14,SP1,2024-11-01 00:00:00.000,"1",0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1063",1,1,0,0,0,0,0,0,0
15,SP1,2024-11-01 00:00:00.000,"1",0.500000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1069",1,1,0,0,0,0,0,0,0
16,SP1,2024-11-01 00:00:00.000,"1",5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1071",1,0,1,0,0,0,0,0,0
